i,j,X-Field,Y-Field,R-Field,PredictedX,PredictedY,RealX,RealY,Distortion
-19,4,-2.46194000E+01,3.10606000E+00,2.47709000E+01,-5.86281000E+00,6.94256000E-01,-5.31401000E+00,6.29269000E-01,-9.36%
-19,5,-2.46194000E+01,3.88044000E+00,2.48554000E+01,-5.86281000E+00,8.67820000E-01,-5.31092000E+00,7.86128000E-01,-9.41%
-19,6,-2.46194000E+01,4.65340000E+00,2.49582000E+01,-5.86281000E+00,1.04138000E+00,-5.30715000E+00,9.42684000E-01,-9.48%
-19,7,-2.46194000E+01,5.42466000E+00,2.50788000E+01,-5.86281000E+00,1.21495000E+00,-5.30271000E+00,1.09888000E+00,-9.55%
-19,8,-2.46194000E+01,6.19396000E+00,2.52168000E+01,-5.86281000E+00,1.38851000E+00,-5.29760000E+00,1.25465000E+00,-9.64%
-19,9,-2.46194000E+01,6.96103000E+00,2.53718000E+01,-5.86281000E+00,1.56208000E+00,-5.29184000E+00,1.40995000E+00,-9.74%
-19,10,-2.46194000E+01,7.72560000E+00,2.55434000E+01,-5.86281000E+00,1.73564000E+00,-5.28543000E+00,1.56471000E+00,-9.85%
-19,11,-2.46194000E+01,8.48740000E+00,2.57309000E+01,-5.86281000E+00,1.90920000E+00,-5.27838000E+00,1.71889000E+00,-9.97%
-19,12,-2.46194000E+01,9.24620000E+00,2.59338000E+01,-5.86281000E+00,2.08277000E+00,-5.27071000E+00,1.87242000E+00,-10.10%
-19,13,-2.46194000E+01,1.00017000E+01,2.61516000E+01,-5.86281000E+00,2.25633000E+00,-5.26241000E+00,2.02527000E+00,-10.24%
-19,14,-2.46194000E+01,1.07538000E+01,2.63835000E+01,-5.86281000E+00,2.42989000E+00,-5.25352000E+00,2.17737000E+00,-10.39%
-19,15,-2.46194000E+01,1.15021000E+01,2.66290000E+01,-5.86281000E+00,2.60346000E+00,-5.24403000E+00,2.32868000E+00,-10.55%
-19,16,-2.46194000E+01,1.22464000E+01,2.68874000E+01,-5.86281000E+00,2.77702000E+00,-5.23396000E+00,2.47916000E+00,-10.73%
-19,17,-2.46194000E+01,1.29866000E+01,2.71582000E+01,-5.86281000E+00,2.95059000E+00,-5.22333000E+00,2.62875000E+00,-10.91%
-19,18,-2.46194000E+01,1.37224000E+01,2.74405000E+01,-5.86281000E+00,3.12415000E+00,-5.21215000E+00,2.77743000E+00,-11.10%
-19,19,-2.46194000E+01,1.44536000E+01,2.77338000E+01,-5.86281000E+00,3.29771000E+00,-5.20043000E+00,2.92514000E+00,-11.30%
-19,20,-2.46194000E+01,1.51801000E+01,2.80373000E+01,-5.86281000E+00,3.47128000E+00,-5.18820000E+00,3.07185000E+00,-11.51%
-19,21,-2.46194000E+01,1.59015000E+01,2.83506000E+01,-5.86281000E+00,3.64484000E+00,-5.17546000E+00,3.21753000E+00,-11.72%
-18,-21,-2.34670000E+01,-1.59015000E+01,2.74409000E+01,-5.55424000E+00,-3.64484000E+00,-4.93781000E+00,-3.24032000E+00,-11.10%
-18,-20,-2.34670000E+01,-1.51801000E+01,2.71097000E+01,-5.55424000E+00,-3.47128000E+00,-4.95023000E+00,-3.09378000E+00,-10.87%
-18,-19,-2.34670000E+01,-1.44536000E+01,2.67883000E+01,-5.55424000E+00,-3.29771000E+00,-4.96216000E+00,-2.94618000E+00,-10.66%
-18,-18,-2.34670000E+01,-1.37224000E+01,2.64775000E+01,-5.55424000E+00,-3.12415000E+00,-4.97358000E+00,-2.79754000E+00,-10.45%
